longitude,latitude
-86.99090936359714,40.469002059003735
-86.99090935256852,40.46900207206816
-86.99090937340321,40.46900207617534
-86.9909093473027,40.46900207101686
-86.99090935350426,40.46900206643228
-86.99090934582584,40.46900205250032
-86.99090934043556,40.46900206556832
-86.99090934525975,40.46900205947703
-86.99090935141156,40.46900206302624
-86.99090934158363,40.4690020738063
-86.99090934915328,40.4690020664398
-86.99090935504037,40.46900206817779
-86.99090935548224,40.46900206460394
-86.99090936542073,40.469002067446674
-86.99090936240621,40.46900206968524
-86.99090935069695,40.46900206986802
-86.9909093507214,40.469002049209166
-86.990909349717,40.46900207275917
-86.99090935803959,40.46900208570468
-86.99090936462947,40.46900208101263
-86.99090936225763,40.46900206712599
-86.99090936876092,40.46900207226663
-86.9909093622508,40.46900207766796
-86.99090939206197,40.46900206270232
-86.99090936693874,40.46900206445326
-86.99090936187642,40.46900207634241
-86.99090937103843,40.46900207339187
-86.99090938223553,40.469002074292646
-86.99090938335836,40.469002080573794
-86.99090937208148,40.46900205843207
-86.99090938135433,40.46900206140704
-86.99090938797421,40.46900205061522
-86.9909093852188,40.46900204225683
-86.99090939435646,40.46900205439474
-86.99090939139562,40.46900204861848
-86.99090939067938,40.46900205696694
-86.99090938000396,40.46900205018834
-86.99090935781798,40.46900205797369
-86.99090937650526,40.469002049537046
-86.99090936960557,40.46900203995892
-86.99090935630674,40.46900204900031
-86.99090934300352,40.46900205209918
-86.99090934890361,40.46900207083091
-86.9909093503005,40.46900207050648
-86.99090933209868,40.46900206145128
-86.9909093391583,40.46900205850199
-86.99090935888024,40.46900206773025
-86.99090936171858,40.46900207439709
-86.99090935188514,40.46900206164385
-86.99090937615074,40.46900205477683
-86.99090936948518,40.46900207868651
-86.99090937942415,40.46900207776303
-86.99090936700253,40.46900209034115
-86.99090937555208,40.469002092138986
-86.99090936330812,40.46900209086592
-86.99090937263551,40.46900210243152
-86.99090938706418,40.46900211266487
-86.99090937089126,40.46900209753181
-86.9909093799621,40.469002088771774
-86.99090936971416,40.469002071564304
-86.99090937393225,40.46900207364244
-86.99090939130897,40.46900208855748
-86.99090938666245,40.4690021005293
-86.99090937895707,40.46900209165711
-86.99090938018423,40.46900208311499
-86.9909093837702,40.469002087524856
-86.99090938533269,40.46900209195103
-86.9909093842027,40.46900209939059
