longitude,latitude,terrain
-86.99087785506957,40.469017694524645,nan
-86.99087784801057,40.46901769488819,nan
-86.99087783198398,40.46901769617617,nan
-86.99087781890469,40.46901769760111,nan
-86.99087782763594,40.46901770044922,nan
-86.990877833959,40.46901770374345,nan
-86.99087782731422,40.46901770633717,nan
-86.99087781979763,40.46901771117771,nan
-86.99087781532323,40.46901771354879,nan
-86.99087781421161,40.46901771305716,nan
-86.99087781522783,40.469017710313594,nan
-86.99087781685422,40.469017705293425,nan
-86.99087782063863,40.46901770140228,nan
-86.99087782702377,40.469017699531115,nan
-86.99087783489007,40.46901769875145,nan
-86.99087784179065,40.4690176984381,nan
-86.99087784635996,40.4690176975986,nan
-86.99087784923802,40.46901769692466,nan
-86.99087785100541,40.46901769650646,nan
-86.99087785238375,40.469017696175136,nan
-86.99087785322929,40.46901769596944,nan
-86.99087785378559,40.469017695831226,nan
-86.9908778541621,40.46901769573647,nan
-86.99087785439683,40.46901769567627,nan
-86.99087785458161,40.46901769562778,nan
-86.99087785469574,40.46901769559735,nan
-86.99087785477161,40.46901769557658,nan
-86.99087785482332,40.4690176955622,nan
-86.99087785485325,40.46901769555369,nan
-86.99087785488007,40.469017695545915,nan
-86.99087785489549,40.46901769554135,nan
-86.99087785490862,40.46901769553736,nan
-86.99087785491555,40.46901769553522,nan
-86.99087785491886,40.4690176955342,nan
-86.99087785492178,40.469017695533246,nan
-86.9908778549248,40.469017695532266,nan
-86.99087785492767,40.46901769553132,nan
-86.99087785492767,40.46901769553132,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
-86.9908778549304,40.46901769553039,nan
